cnae_classe;regiao_administrativa;saldo
Abate de reses, exceto suínos;Araçatuba;    -7
Abate de reses, exceto suínos;Barretos;     1
Abate de reses, exceto suínos;Bauru;    72
Abate de reses, exceto suínos;Campinas;    -2
Abate de reses, exceto suínos;Franca;     3
Abate de reses, exceto suínos;Itapeva;     5
Abate de reses, exceto suínos;Marília;    16
Abate de reses, exceto suínos;Presidente Prudente;   -75
Abate de reses, exceto suínos;Região Administrativa Central;    17
Abate de reses, exceto suínos;Registro;     2
Abate de reses, exceto suínos;Ribeirão Preto;   -68
Abate de reses, exceto suínos;Santos;    -2
Abate de reses, exceto suínos;São José do Rio Preto;  -512
Abate de reses, exceto suínos;São José dos Campos;     5
Abate de reses, exceto suínos;São Paulo;    -7
Abate de reses, exceto suínos;Sorocaba;    -3
Abate de suínos, aves e outros pequenos animais;Barretos;    59
Abate de suínos, aves e outros pequenos animais;Bauru;   125
Abate de suínos, aves e outros pequenos animais;Campinas;   169
Abate de suínos, aves e outros pequenos animais;Franca;   101
Abate de suínos, aves e outros pequenos animais;Itapeva;     1
Abate de suínos, aves e outros pequenos animais;Marília;    -1
Abate de suínos, aves e outros pequenos animais;Presidente Prudente;    17
Abate de suínos, aves e outros pequenos animais;Região Administrativa Central;   -35
Abate de suínos, aves e outros pequenos animais;Ribeirão Preto;    -2
Abate de suínos, aves e outros pequenos animais;São José do Rio Preto;    79
Abate de suínos, aves e outros pequenos animais;São Paulo;    16
Abate de suínos, aves e outros pequenos animais;Sorocaba;   403
Acabamentos em fios, tecidos e artefatos têxteis;Araçatuba;    -2
Acabamentos em fios, tecidos e artefatos têxteis;Barretos;    -1
Acabamentos em fios, tecidos e artefatos têxteis;Bauru;   -25
Acabamentos em fios, tecidos e artefatos têxteis;Campinas;  -459
Acabamentos em fios, tecidos e artefatos têxteis;Franca;    -8
Acabamentos em fios, tecidos e artefatos têxteis;Itapeva;    -3
Acabamentos em fios, tecidos e artefatos têxteis;Marília;     1
Acabamentos em fios, tecidos e artefatos têxteis;Presidente Prudente;    -2
Acabamentos em fios, tecidos e artefatos têxteis;Região Administrativa Central;    -2
Acabamentos em fios, tecidos e artefatos têxteis;Ribeirão Preto;     2
Acabamentos em fios, tecidos e artefatos têxteis;Santos;   -13
Acabamentos em fios, tecidos e artefatos têxteis;São José do Rio Preto;    -5
Acabamentos em fios, tecidos e artefatos têxteis;São José dos Campos;    -7
Acabamentos em fios, tecidos e artefatos têxteis;São Paulo;  -423
Acabamentos em fios, tecidos e artefatos têxteis;Sorocaba;   -72
Administração de bolsas e mercados de balcão organizados;São Paulo;    57
Administração de cartões de crédito;Bauru;    -1
Administração de cartões de crédito;Campinas;    -8
Administração de cartões de crédito;Franca;     2
Administração de cartões de crédito;Itapeva;     3
Administração de cartões de crédito;Ribeirão Preto;     2
Administração de cartões de crédito;Santos;     0
Administração de cartões de crédito;São José dos Campos;    -4
Administração de cartões de crédito;São Paulo;   297
Administração de cartões de crédito;Sorocaba;    -8
Administração de consórcios para aquisição de bens e direitos;Araçatuba;   -17
Administração de consórcios para aquisição de bens e direitos;Bauru;   -11
Administração de consórcios para aquisição de bens e direitos;Campinas;   -76
Administração de consórcios para aquisição de bens e direitos;Franca;     9
Administração de consórcios para aquisição de bens e direitos;Marília;     0
Administração de consórcios para aquisição de bens e direitos;Presidente Prudente;    -1
Administração de consórcios para aquisição de bens e direitos;Região Administrativa Central;   -12
Administração de consórcios para aquisição de bens e direitos;Ribeirão Preto;   -23
Administração de consórcios para aquisição de bens e direitos;Santos;    -9
Administração de consórcios para aquisição de bens e direitos;São José do Rio Preto;   -16
Administração de consórcios para aquisição de bens e direitos;São José dos Campos;   -23
Administração de consórcios para aquisição de bens e direitos;São Paulo;  -320
Administração de consórcios para aquisição de bens e direitos;Sorocaba;    15
Administração pública em geral;Araçatuba;   288
Administração pública em geral;Barretos;   131
Administração pública em geral;Bauru;   261
Administração pública em geral;Campinas;  2210
Administração pública em geral;Franca;   292
Administração pública em geral;Itapeva;   262
Administração pública em geral;Marília;   397
Administração pública em geral;Presidente Prudente;   154
Administração pública em geral;Região Administrativa Central;   387
Administração pública em geral;Registro;   242
Administração pública em geral;Ribeirão Preto;   560
Administração pública em geral;Santos;     0
Administração pública em geral;São José do Rio Preto;   251
Administração pública em geral;São José dos Campos;   979
Administração pública em geral;São Paulo;  -557
Administração pública em geral;Sorocaba;   982
Agenciamento de espaços para publicidade, exceto em veículos de comunicação;Araçatuba;     0
Agenciamento de espaços para publicidade, exceto em veículos de comunicação;Barretos;     1
Agenciamento de espaços para publicidade, exceto em veículos de comunicação;Bauru;     0
Agenciamento de espaços para publicidade, exceto em veículos de comunicação;Campinas;   -17
Agenciamento de espaços para publicidade, exceto em veículos de comunicação;Franca;    -1
Agenciamento de espaços para publicidade, exceto em veículos de comunicação;Marília;    -9
Agenciamento de espaços para publicidade, exceto em veículos de comunicação;Presidente Prudente;    -1
Agenciamento de espaços para publicidade, exceto em veículos de comunicação;Região Administrativa Central;    -2
Agenciamento de espaços para publicidade, exceto em veículos de comunicação;Registro;    -2
Agenciamento de espaços para publicidade, exceto em veículos de comunicação;Ribeirão Preto;    -2
Agenciamento de espaços para publicidade, exceto em veículos de comunicação;Santos;    -7
Agenciamento de espaços para publicidade, exceto em veículos de comunicação;São José do Rio Preto;    -7
Agenciamento de espaços para publicidade, exceto em veículos de comunicação;São José dos Campos;     0
Agenciamento de espaços para publicidade, exceto em veículos de comunicação;São Paulo;   -97
Agenciamento de espaços para publicidade, exceto em veículos de comunicação;Sorocaba;     1
Agências de fomento;São Paulo;    -1
Agências de notícias;Bauru;     0
Agências de notícias;Campinas;    -3
Agências de notícias;Franca;    -1
Agências de notícias;Presidente Prudente;    -4
Agências de notícias;Região Administrativa Central;     0
Agências de notícias;Ribeirão Preto;     0
Agências de notícias;São José dos Campos;    -1
Agências de notícias;São Paulo;    -5
Agências de notícias;Sorocaba;    -2
Agências de publicidade;Araçatuba;     0
Agências de publicidade;Barretos;    -1
Agências de publicidade;Bauru;    -6
Agências de publicidade;Campinas;   -95
Agências de publicidade;Franca;    -1
Agências de publicidade;Itapeva;     1
Agências de publicidade;Marília;     2
Agências de publicidade;Presidente Prudente;   -26
Agências de publicidade;Região Administrativa Central;    48
Agências de publicidade;Registro;    -1
Agências de publicidade;Ribeirão Preto;     3
Agências de publicidade;Santos;    -6
Agências de publicidade;São José do Rio Preto;   -10
Agências de publicidade;São José dos Campos;   -14
Agências de publicidade;São Paulo;  -366
Agências de publicidade;Sorocaba;   -47
Agências de viagens;Araçatuba;   -29
Agências de viagens;Barretos;    -9
Agências de viagens;Bauru;   -59
Agências de viagens;Campinas;  -445
Agências de viagens;Franca;   -20
Agências de viagens;Itapeva;     0
Agências de viagens;Marília;   -26
Agências de viagens;Presidente Prudente;    -8
Agências de viagens;Região Administrativa Central;   -21
Agências de viagens;Ribeirão Preto;   -83
Agências de viagens;Santos;   -64
Agências de viagens;São José do Rio Preto;   -40
Agências de viagens;São José dos Campos;  -117
Agências de viagens;São Paulo; -4003
Agências de viagens;Sorocaba;   -51
Aluguel de equipamentos recreativos e esportivos;Araçatuba;    -3
Aluguel de equipamentos recreativos e esportivos;Barretos;     0
Aluguel de equipamentos recreativos e esportivos;Bauru;     6
Aluguel de equipamentos recreativos e esportivos;Campinas;    -6
Aluguel de equipamentos recreativos e esportivos;Marília;    -1
Aluguel de equipamentos recreativos e esportivos;Presidente Prudente;    -1
Aluguel de equipamentos recreativos e esportivos;Região Administrativa Central;    -2
Aluguel de equipamentos recreativos e esportivos;Ribeirão Preto;    -1
Aluguel de equipamentos recreativos e esportivos;Santos;     1
Aluguel de equipamentos recreativos e esportivos;São José do Rio Preto;    -4
Aluguel de equipamentos recreativos e esportivos;São José dos Campos;    -2
Aluguel de equipamentos recreativos e esportivos;São Paulo;  -772
Aluguel de equipamentos recreativos e esportivos;Sorocaba;    -4
Aluguel de fitas de vídeo, DVDs e similares;Araçatuba;    -2
Aluguel de fitas de vídeo, DVDs e similares;Barretos;    -1
Aluguel de fitas de vídeo, DVDs e similares;Campinas;   -31
Aluguel de fitas de vídeo, DVDs e similares;Marília;    -1
Aluguel de fitas de vídeo, DVDs e similares;Região Administrativa Central;    -1
Aluguel de fitas de vídeo, DVDs e similares;Ribeirão Preto;     5
Aluguel de fitas de vídeo, DVDs e similares;Santos;   -13
Aluguel de fitas de vídeo, DVDs e similares;São José dos Campos;   -37
Aluguel de fitas de vídeo, DVDs e similares;São Paulo;   -99
Aluguel de fitas de vídeo, DVDs e similares;Sorocaba;    -6
Aluguel de máquinas e equipamentos agrícolas sem operador;Araçatuba;    66
Aluguel de máquinas e equipamentos agrícolas sem operador;Barretos;    23
Aluguel de máquinas e equipamentos agrícolas sem operador;Bauru;    15
Aluguel de máquinas e equipamentos agrícolas sem operador;Campinas;    14
Aluguel de máquinas e equipamentos agrícolas sem operador;Franca;    25
Aluguel de máquinas e equipamentos agrícolas sem operador;Marília;    95
Aluguel de máquinas e equipamentos agrícolas sem operador;Região Administrativa Central;     0
Aluguel de máquinas e equipamentos agrícolas sem operador;Ribeirão Preto;   126
Aluguel de máquinas e equipamentos agrícolas sem operador;São José do Rio Preto;    57
Aluguel de máquinas e equipamentos agrícolas sem operador;São José dos Campos;    16
Aluguel de máquinas e equipamentos agrícolas sem operador;São Paulo;   -10
Aluguel de máquinas e equipamentos não especificados anteriormente;Araçatuba;    90
Aluguel de máquinas e equipamentos não especificados anteriormente;Barretos;     0
Aluguel de máquinas e equipamentos não especificados anteriormente;Bauru;    22
Aluguel de máquinas e equipamentos não especificados anteriormente;Campinas;   -74
Aluguel de máquinas e equipamentos não especificados anteriormente;Franca;   -49
Aluguel de máquinas e equipamentos não especificados anteriormente;Marília;    19
Aluguel de máquinas e equipamentos não especificados anteriormente;Presidente Prudente;     7
Aluguel de máquinas e equipamentos não especificados anteriormente;Região Administrativa Central;     6
Aluguel de máquinas e equipamentos não especificados anteriormente;Ribeirão Preto;    15
Aluguel de máquinas e equipamentos não especificados anteriormente;Santos;   -16
Aluguel de máquinas e equipamentos não especificados anteriormente;São José do Rio Preto;   -19
Aluguel de máquinas e equipamentos não especificados anteriormente;São José dos Campos;   -61
Aluguel de máquinas e equipamentos não especificados anteriormente;São Paulo; -1235
Aluguel de máquinas e equipamentos não especificados anteriormente;Sorocaba;   -48
Aluguel de máquinas e equipamentos para construção sem operador;Araçatuba;    24
Aluguel de máquinas e equipamentos para construção sem operador;Barretos;    -7
Aluguel de máquinas e equipamentos para construção sem operador;Bauru;    -3
Aluguel de máquinas e equipamentos para construção sem operador;Campinas;   -50
Aluguel de máquinas e equipamentos para construção sem operador;Franca;     6
Aluguel de máquinas e equipamentos para construção sem operador;Itapeva;     0
Aluguel de máquinas e equipamentos para construção sem operador;Marília;   -12
Aluguel de máquinas e equipamentos para construção sem operador;Presidente Prudente;    16
Aluguel de máquinas e equipamentos para construção sem operador;Região Administrativa Central;    25
Aluguel de máquinas e equipamentos para construção sem operador;Registro;   -39
Aluguel de máquinas e equipamentos para construção sem operador;Ribeirão Preto;    37
Aluguel de máquinas e equipamentos para construção sem operador;Santos;    13
Aluguel de máquinas e equipamentos para construção sem operador;São José do Rio Preto;     1
Aluguel de máquinas e equipamentos para construção sem operador;São José dos Campos;   -60
Aluguel de máquinas e equipamentos para construção sem operador;São Paulo;    85
Aluguel de máquinas e equipamentos para construção sem operador;Sorocaba;   -11
Aluguel de máquinas e equipamentos para escritório;Araçatuba;     0
Aluguel de máquinas e equipamentos para escritório;Barretos;    -1
Aluguel de máquinas e equipamentos para escritório;Bauru;    -1
Aluguel de máquinas e equipamentos para escritório;Campinas;    -9
Aluguel de máquinas e equipamentos para escritório;Franca;    -1
Aluguel de máquinas e equipamentos para escritório;Marília;   -11
Aluguel de máquinas e equipamentos para escritório;Presidente Prudente;     1
Aluguel de máquinas e equipamentos para escritório;Região Administrativa Central;     0
Aluguel de máquinas e equipamentos para escritório;Ribeirão Preto;    -7
Aluguel de máquinas e equipamentos para escritório;Santos;    -3
Aluguel de máquinas e equipamentos para escritório;São José do Rio Preto;    -8
Aluguel de máquinas e equipamentos para escritório;São José dos Campos;     4
Aluguel de máquinas e equipamentos para escritório;São Paulo;  -104
