cnae_classe;regiao_governo;saldo
Abate de reses, exceto suínos;Andradina;    -6
Abate de reses, exceto suínos;Araçatuba;    -1
Abate de reses, exceto suínos;Araraquara;    19
Abate de reses, exceto suínos;Assis;     7
Abate de reses, exceto suínos;Barretos;     1
Abate de reses, exceto suínos;Bauru;   -37
Abate de reses, exceto suínos;Bragança Paulista;     6
Abate de reses, exceto suínos;Campinas;    -5
Abate de reses, exceto suínos;Catanduva;    -2
Abate de reses, exceto suínos;Dracena;    11
Abate de reses, exceto suínos;Fernandópolis;  -408
Abate de reses, exceto suínos;Franca;    -2
Abate de reses, exceto suínos;Itapetininga;    -4
Abate de reses, exceto suínos;Itapeva;     5
Abate de reses, exceto suínos;Jales;   -11
Abate de reses, exceto suínos;Jaú;     6
Abate de reses, exceto suínos;Lins;   103
Abate de reses, exceto suínos;Marília;    -8
Abate de reses, exceto suínos;Ourinhos;    12
Abate de reses, exceto suínos;Piracicaba;    -2
Abate de reses, exceto suínos;Presidente Prudente;   -86
Abate de reses, exceto suínos;Registro;     2
Abate de reses, exceto suínos;Ribeirão Preto;   -68
Abate de reses, exceto suínos;Rio Claro;     2
Abate de reses, exceto suínos;Santos;    -2
Abate de reses, exceto suínos;São Carlos;    -2
Abate de reses, exceto suínos;São João da Boa Vista;    -3
Abate de reses, exceto suínos;São Joaquim da Barra;     5
Abate de reses, exceto suínos;São José do Rio Preto;  -132
Abate de reses, exceto suínos;São José dos Campos;     7
Abate de reses, exceto suínos;São Paulo;    -7
Abate de reses, exceto suínos;Sorocaba;     1
Abate de reses, exceto suínos;Taubaté;    -2
Abate de reses, exceto suínos;Tupã;     5
Abate de reses, exceto suínos;Votuporanga;    41
Abate de suínos, aves e outros pequenos animais;Adamantina;     5
Abate de suínos, aves e outros pequenos animais;Araraquara;   -32
Abate de suínos, aves e outros pequenos animais;Avaré;    59
Abate de suínos, aves e outros pequenos animais;Barretos;    59
Abate de suínos, aves e outros pequenos animais;Bauru;    19
Abate de suínos, aves e outros pequenos animais;Botucatu;    68
Abate de suínos, aves e outros pequenos animais;Bragança Paulista;    23
Abate de suínos, aves e outros pequenos animais;Campinas;    67
Abate de suínos, aves e outros pequenos animais;Catanduva;     2
Abate de suínos, aves e outros pequenos animais;Franca;   -10
Abate de suínos, aves e outros pequenos animais;Itapetininga;   253
Abate de suínos, aves e outros pequenos animais;Itapeva;     1
Abate de suínos, aves e outros pequenos animais;Jaú;   124
Abate de suínos, aves e outros pequenos animais;Jundiaí;    34
Abate de suínos, aves e outros pequenos animais;Lins;   -18
Abate de suínos, aves e outros pequenos animais;Piracicaba;     6
Abate de suínos, aves e outros pequenos animais;Presidente Prudente;    12
Abate de suínos, aves e outros pequenos animais;Ribeirão Preto;    -2
Abate de suínos, aves e outros pequenos animais;Rio Claro;     8
Abate de suínos, aves e outros pequenos animais;São Carlos;    -3
Abate de suínos, aves e outros pequenos animais;São João da Boa Vista;    31
Abate de suínos, aves e outros pequenos animais;São Joaquim da Barra;   111
Abate de suínos, aves e outros pequenos animais;São José do Rio Preto;    35
Abate de suínos, aves e outros pequenos animais;São Paulo;    16
Abate de suínos, aves e outros pequenos animais;Sorocaba;    23
Abate de suínos, aves e outros pequenos animais;Tupã;    -1
Abate de suínos, aves e outros pequenos animais;Votuporanga;    42
Acabamentos em fios, tecidos e artefatos têxteis;Araçatuba;    -2
Acabamentos em fios, tecidos e artefatos têxteis;Araraquara;    -2
Acabamentos em fios, tecidos e artefatos têxteis;Barretos;    -1
Acabamentos em fios, tecidos e artefatos têxteis;Bauru;    -1
Acabamentos em fios, tecidos e artefatos têxteis;Bragança Paulista;   -64
Acabamentos em fios, tecidos e artefatos têxteis;Campinas;  -404
Acabamentos em fios, tecidos e artefatos têxteis;Franca;    -8
Acabamentos em fios, tecidos e artefatos têxteis;Itapetininga;   -10
Acabamentos em fios, tecidos e artefatos têxteis;Itapeva;    -3
Acabamentos em fios, tecidos e artefatos têxteis;Jales;     2
Acabamentos em fios, tecidos e artefatos têxteis;Jaú;   -14
Acabamentos em fios, tecidos e artefatos têxteis;Jundiaí;     9
Acabamentos em fios, tecidos e artefatos têxteis;Limeira;    -5
Acabamentos em fios, tecidos e artefatos têxteis;Lins;   -10
Acabamentos em fios, tecidos e artefatos têxteis;Marília;     1
Acabamentos em fios, tecidos e artefatos têxteis;Piracicaba;    -4
Acabamentos em fios, tecidos e artefatos têxteis;Presidente Prudente;    -2
Acabamentos em fios, tecidos e artefatos têxteis;Ribeirão Preto;     2
Acabamentos em fios, tecidos e artefatos têxteis;Rio Claro;     9
Acabamentos em fios, tecidos e artefatos têxteis;Santos;   -13
Acabamentos em fios, tecidos e artefatos têxteis;São João da Boa Vista;     0
Acabamentos em fios, tecidos e artefatos têxteis;São José do Rio Preto;    -5
Acabamentos em fios, tecidos e artefatos têxteis;São José dos Campos;    -5
Acabamentos em fios, tecidos e artefatos têxteis;São Paulo;  -423
Acabamentos em fios, tecidos e artefatos têxteis;Sorocaba;   -62
Acabamentos em fios, tecidos e artefatos têxteis;Taubaté;    -2
Acabamentos em fios, tecidos e artefatos têxteis;Votuporanga;    -2
