mes;cnae_classe;saldo
1;Abate de reses, exceto suínos;  -153
1;Abate de suínos, aves e outros pequenos animais;   139
1;Acabamentos em fios, tecidos e artefatos têxteis;    73
1;Administração de bolsas e mercados de balcão organizados;    11
1;Administração de cartões de crédito;   108
1;Administração de consórcios para aquisição de bens e direitos;    43
1;Administração pública em geral;  -277
1;Agenciamento de espaços para publicidade, exceto em veículos de comunicação;    23
1;Agências de notícias;    16
1;Agências de publicidade;   162
1;Agências de viagens;  -186
1;Aluguel de equipamentos recreativos e esportivos;  -637
1;Aluguel de fitas de vídeo, DVDs e similares;   -71
1;Aluguel de máquinas e equipamentos agrícolas sem operador;    13
1;Aluguel de máquinas e equipamentos não especificados anteriormente;   110
1;Aluguel de máquinas e equipamentos para construção sem operador;    87
1;Aluguel de máquinas e equipamentos para escritório;    65
1;Aluguel de objetos do vestuário, jóias e acessórios;   -13
1;Aluguel de objetos pessoais e domésticos não especificados anteriormente;    21
1;Aparelhamento e outros trabalhos em pedras;    30
1;Aqüicultura em água doce;    26
1;Aqüicultura em água salgada e salobra;    -1
1;Armazenamento;    68
1;Arrendamento mercantil;    -1
1;Artes cênicas, espetáculos e atividades complementares;   -76
1;Atividades associativas não especificadas anteriormente;   489
1;Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente;    -6
1;Atividades auxiliares dos serviços financeiros não especificadas anteriormente;  -152
1;Atividades auxiliares dos transportes aéreos;    70
1;Atividades auxiliares dos transportes aquaviários não especificadas anteriormente;    -6
1;Atividades auxiliares dos transportes terrestres não especificadas anteriormente;   -26
1;Atividades de administração de fundos por contrato ou comissão;    83
1;Atividades de agenciamento marítimo;    46
1;Atividades de apoio à agricultura; -4285
1;Atividades de apoio à educação;    94
1;Atividades de apoio à extração de minerais, exceto petróleo e gás natural;    -3
1;Atividades de apoio à extração de petróleo e gás natural;     6
1;Atividades de apoio à gestão de saúde;   457
1;Atividades de apoio à pecuária;     9
1;Atividades de apoio à produção florestal;    -2
1;Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes prestadas em residências coletivas e particulares;   187
1;Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química;   -10
1;Atividades de assistência social prestadas em residências coletivas e particulares;     1
1;Atividades de associações de defesa de direitos sociais;   387
1;Atividades de atenção à saúde humana não especificadas anteriormente;    48
1;Atividades de atenção ambulatorial executadas por médicos e odontólogos;   952
1;Atividades de atendimento hospitalar;   257
1;Atividades de bibliotecas e arquivos;     4
1;Atividades de cobrança e informações cadastrais;   393
1;Atividades de condicionamento físico;   165
1;Atividades de consultoria em gestão empresarial;   323
1;Atividades de contabilidade, consultoria e auditoria contábil e tributária;  1009
1;Atividades de Correio;    -9
1;Atividades de ensino não especificadas anteriormente;  1226
1;Atividades de exibição cinematográfica;   -34
1;Atividades de exploração de jogos de azar e apostas;    -1
1;Atividades de fornecimento de infra-estrutura de apoio e assistência a paciente no domicílio;   -37
1;Atividades de gravação de som e de edição de música;    -5
1;Atividades de intermediários em transações de títulos, valores mobiliários e mercadorias;   114
1;Atividades de investigação particular;    -1
1;Atividades de jardins botânicos, zoológicos, parques nacionais, reservas ecológicas e áreas de proteção ambiental;    -6
1;Atividades de limpeza não especificadas anteriormente;  1008
1;Atividades de malote e de entrega;    33
1;Atividades de monitoramento de sistemas de segurança;   120
1;Atividades de museus e de exploração, restauração artística e conservação de lugares e prédios históricos e atrações similares;     5
1;Atividades de organização de eventos, exceto culturais e esportivos;   -28
1;Atividades de organizações associativas ligadas à cultura e à arte;    94
1;Atividades de organizações associativas patronais e empresariais;    51
1;Atividades de organizações associativas profissionais;   -43
1;Atividades de organizações políticas;    -5
1;Atividades de organizações religiosas;    19
1;Atividades de organizações sindicais;   -54
1;Atividades de pós-colheita;   185
1;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão;    11
1;Atividades de produção cinematográfica, de vídeos e de programas de televisão;     5
1;Atividades de profissionais da área de saúde, exceto médicos e odontólogos;   203
1;Atividades de publicidade não especificadas anteriormente;   145
1;Atividades de rádio;     4
1;Atividades de recreação e lazer não especificadas anteriormente;   103
1;Atividades de serviços de complementação diagnóstica e terapêutica;   304
1;Atividades de serviços pessoais não especificadas anteriormente;     9
1;Atividades de serviços prestados principalmente às empresas não especificadas anteriormente;   784
1;Atividades de teleatendimento;   202
1;Atividades de televisão aberta;   -28
1;Atividades de transporte de valores;   -13
1;Atividades de vigilância e segurança privada;  -996
1;Atividades esportivas não especificadas anteriormente;   -10
1;Atividades fotográficas e similares;   -15
1;Atividades funerárias e serviços relacionados;   -15
1;Atividades imobiliárias de imóveis próprios;    52
1;Atividades jurídicas, exceto cartórios;   179
1;Atividades paisagísticas;   209
1;Atividades profissionais, científicas e técnicas não especificadas anteriormente;   285
1;Atividades relacionadas a esgoto, exceto a gestão de redes;    42
1;Atividades relacionadas à organização do transporte de carga;  -197
1;Atividades técnicas relacionadas à arquitetura e engenharia;    84
1;Atividades veterinárias;    44
1;Avaliação de riscos e perdas;     7
1;Bancos comerciais;    16
1;Bancos de investimento;     7
1;Bancos múltiplos, com carteira comercial;   280
1;Bancos múltiplos, sem carteira comercial;    17
1;Beneficiamento de arroz e fabricação de produtos do arroz;    10
1;Cabeleireiros e outras atividades de tratamento de beleza;   -43
1;Caça e serviços relacionados;    -1
1;Caixas econômicas;     4
1;Captação, tratamento e distribuição de água;   -84
1;Carga e descarga;  -281
1;Cartórios;   218
1;Clubes sociais, esportivos e similares;   222
1;Coleta de resíduos não-perigosos;  -221
1;Coleta de resíduos perigosos;   -18
1;Comércio a varejo e por atacado de veículos automotores;   158
1;Comércio atacadista de animais vivos, alimentos para animais e matérias-primas agrícolas, exceto café e soja;    96
1;"Comércio atacadista de artigos de escritório e de papelaria; livros, jornais e outras publicações";    51
1;Comércio atacadista de artigos do vestuário e acessórios;  -325
1;Comércio atacadista de bebidas;  -194
1;Comércio atacadista de café em grão;     0
1;Comércio atacadista de calçados e artigos de viagem;    11
1;Comércio atacadista de carnes, produtos da carne e pescado;   -76
1;Comércio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e féculas;    34
1;Comércio atacadista de cimento;   -13
1;Comércio atacadista de combustíveis sólidos, líquidos e gasosos, exceto gás natural e GLP;    -2
1;Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação;    43
1;Comércio atacadista de computadores, periféricos e suprimentos de informática;    73
1;Comércio atacadista de cosméticos, produtos de perfumaria e de higiene pessoal;  -145
