mes;cnae_classe;regiao_administrativa;saldo
1;Abate de reses, exceto suínos;Araçatuba;     3
1;Abate de reses, exceto suínos;Barretos;     9
1;Abate de reses, exceto suínos;Bauru;   -43
1;Abate de reses, exceto suínos;Campinas;   -14
1;Abate de reses, exceto suínos;Franca;     5
1;Abate de reses, exceto suínos;Itapeva;     3
1;Abate de reses, exceto suínos;Marília;    -8
1;Abate de reses, exceto suínos;Presidente Prudente;   -15
1;Abate de reses, exceto suínos;Região Administrativa Central;     1
1;Abate de reses, exceto suínos;Ribeirão Preto;    20
1;Abate de reses, exceto suínos;São José do Rio Preto;  -118
1;Abate de reses, exceto suínos;São José dos Campos;     0
1;Abate de reses, exceto suínos;São Paulo;     2
1;Abate de reses, exceto suínos;Sorocaba;     2
1;Abate de suínos, aves e outros pequenos animais;Barretos;    31
1;Abate de suínos, aves e outros pequenos animais;Bauru;    75
1;Abate de suínos, aves e outros pequenos animais;Campinas;   -20
1;Abate de suínos, aves e outros pequenos animais;Franca;    -6
1;Abate de suínos, aves e outros pequenos animais;Itapeva;     1
1;Abate de suínos, aves e outros pequenos animais;Marília;     6
1;Abate de suínos, aves e outros pequenos animais;Presidente Prudente;    -3
1;Abate de suínos, aves e outros pequenos animais;Região Administrativa Central;   -17
1;Abate de suínos, aves e outros pequenos animais;Ribeirão Preto;    -2
1;Abate de suínos, aves e outros pequenos animais;São José do Rio Preto;    20
1;Abate de suínos, aves e outros pequenos animais;São Paulo;    15
1;Abate de suínos, aves e outros pequenos animais;Sorocaba;    39
1;Acabamentos em fios, tecidos e artefatos têxteis;Araçatuba;     5
1;Acabamentos em fios, tecidos e artefatos têxteis;Bauru;    16
1;Acabamentos em fios, tecidos e artefatos têxteis;Campinas;    11
1;Acabamentos em fios, tecidos e artefatos têxteis;Franca;     7
1;Acabamentos em fios, tecidos e artefatos têxteis;Itapeva;     1
1;Acabamentos em fios, tecidos e artefatos têxteis;Região Administrativa Central;     1
1;Acabamentos em fios, tecidos e artefatos têxteis;Ribeirão Preto;     0
1;Acabamentos em fios, tecidos e artefatos têxteis;Santos;    -4
1;Acabamentos em fios, tecidos e artefatos têxteis;São José do Rio Preto;     1
1;Acabamentos em fios, tecidos e artefatos têxteis;São José dos Campos;     1
1;Acabamentos em fios, tecidos e artefatos têxteis;São Paulo;    20
1;Acabamentos em fios, tecidos e artefatos têxteis;Sorocaba;    14
1;Administração de bolsas e mercados de balcão organizados;São Paulo;    11
1;Administração de cartões de crédito;Itapeva;     2
1;Administração de cartões de crédito;Ribeirão Preto;     1
1;Administração de cartões de crédito;São José dos Campos;    -2
1;Administração de cartões de crédito;São Paulo;   101
1;Administração de cartões de crédito;Sorocaba;     6
1;Administração de consórcios para aquisição de bens e direitos;Araçatuba;   -10
1;Administração de consórcios para aquisição de bens e direitos;Bauru;    -2
1;Administração de consórcios para aquisição de bens e direitos;Campinas;    -5
1;Administração de consórcios para aquisição de bens e direitos;Franca;     2
1;Administração de consórcios para aquisição de bens e direitos;Marília;     0
1;Administração de consórcios para aquisição de bens e direitos;Presidente Prudente;    -1
1;Administração de consórcios para aquisição de bens e direitos;Região Administrativa Central;    -2
1;Administração de consórcios para aquisição de bens e direitos;Ribeirão Preto;     5
1;Administração de consórcios para aquisição de bens e direitos;Santos;    -2
1;Administração de consórcios para aquisição de bens e direitos;São José do Rio Preto;    12
1;Administração de consórcios para aquisição de bens e direitos;São José dos Campos;     1
1;Administração de consórcios para aquisição de bens e direitos;São Paulo;    36
1;Administração de consórcios para aquisição de bens e direitos;Sorocaba;     9
1;Administração pública em geral;Araçatuba;   -13
1;Administração pública em geral;Barretos;    57
1;Administração pública em geral;Bauru;   -12
1;Administração pública em geral;Campinas;   -11
1;Administração pública em geral;Franca;   -33
1;Administração pública em geral;Itapeva;    21
1;Administração pública em geral;Marília;    42
1;Administração pública em geral;Presidente Prudente;    -1
1;Administração pública em geral;Região Administrativa Central;   -23
1;Administração pública em geral;Registro;    -1
1;Administração pública em geral;Ribeirão Preto;   -35
1;Administração pública em geral;Santos;     5
1;Administração pública em geral;São José do Rio Preto;  -165
1;Administração pública em geral;São José dos Campos;   108
1;Administração pública em geral;São Paulo;  -213
1;Administração pública em geral;Sorocaba;    -3
1;Agenciamento de espaços para publicidade, exceto em veículos de comunicação;Campinas;    -2
1;Agenciamento de espaços para publicidade, exceto em veículos de comunicação;Franca;    -4
1;Agenciamento de espaços para publicidade, exceto em veículos de comunicação;Marília;     1
1;Agenciamento de espaços para publicidade, exceto em veículos de comunicação;Registro;    -1
1;Agenciamento de espaços para publicidade, exceto em veículos de comunicação;Ribeirão Preto;     0
1;Agenciamento de espaços para publicidade, exceto em veículos de comunicação;Santos;    -2
1;Agenciamento de espaços para publicidade, exceto em veículos de comunicação;São José do Rio Preto;    -1
1;Agenciamento de espaços para publicidade, exceto em veículos de comunicação;São José dos Campos;    -1
1;Agenciamento de espaços para publicidade, exceto em veículos de comunicação;São Paulo;    31
1;Agenciamento de espaços para publicidade, exceto em veículos de comunicação;Sorocaba;     2
1;Agências de notícias;Campinas;    -1
1;Agências de notícias;Presidente Prudente;    -1
1;Agências de notícias;Região Administrativa Central;     1
1;Agências de notícias;Ribeirão Preto;     2
1;Agências de notícias;São Paulo;    15
1;Agências de publicidade;Araçatuba;    -1
1;Agências de publicidade;Barretos;    -2
1;Agências de publicidade;Bauru;    -1
1;Agências de publicidade;Campinas;     5
1;Agências de publicidade;Franca;     3
1;Agências de publicidade;Itapeva;     1
1;Agências de publicidade;Marília;     1
1;Agências de publicidade;Presidente Prudente;    -2
1;Agências de publicidade;Região Administrativa Central;    35
1;Agências de publicidade;Ribeirão Preto;     6
1;Agências de publicidade;Santos;     0
1;Agências de publicidade;São José do Rio Preto;    -1
1;Agências de publicidade;São José dos Campos;     6
1;Agências de publicidade;São Paulo;   106
1;Agências de publicidade;Sorocaba;     6
1;Agências de viagens;Araçatuba;     1
1;Agências de viagens;Barretos;     0
1;Agências de viagens;Bauru;     5
1;Agências de viagens;Campinas;   -17
1;Agências de viagens;Franca;    -1
1;Agências de viagens;Itapeva;     1
1;Agências de viagens;Marília;     2
1;Agências de viagens;Presidente Prudente;    -2
1;Agências de viagens;Região Administrativa Central;    -4
1;Agências de viagens;Ribeirão Preto;     1
1;Agências de viagens;Santos;    -2
1;Agências de viagens;São José do Rio Preto;     0
1;Agências de viagens;São José dos Campos;     3
1;Agências de viagens;São Paulo;  -181
1;Agências de viagens;Sorocaba;     8
1;Aluguel de equipamentos recreativos e esportivos;Barretos;     1
1;Aluguel de equipamentos recreativos e esportivos;Bauru;     2
1;Aluguel de equipamentos recreativos e esportivos;Campinas;     3
1;Aluguel de equipamentos recreativos e esportivos;Marília;     0
1;Aluguel de equipamentos recreativos e esportivos;Região Administrativa Central;    -3
1;Aluguel de equipamentos recreativos e esportivos;Ribeirão Preto;     0
1;Aluguel de equipamentos recreativos e esportivos;Santos;     2
1;Aluguel de equipamentos recreativos e esportivos;São José do Rio Preto;     1
1;Aluguel de equipamentos recreativos e esportivos;São Paulo;  -643
1;Aluguel de fitas de vídeo, DVDs e similares;Araçatuba;    -1
1;Aluguel de fitas de vídeo, DVDs e similares;Campinas;     5
1;Aluguel de fitas de vídeo, DVDs e similares;Região Administrativa Central;    -1
1;Aluguel de fitas de vídeo, DVDs e similares;Ribeirão Preto;     5
1;Aluguel de fitas de vídeo, DVDs e similares;Santos;    -6
1;Aluguel de fitas de vídeo, DVDs e similares;São José dos Campos;   -27
1;Aluguel de fitas de vídeo, DVDs e similares;São Paulo;   -43
1;Aluguel de fitas de vídeo, DVDs e similares;Sorocaba;    -3
1;Aluguel de máquinas e equipamentos agrícolas sem operador;Araçatuba;    -7
1;Aluguel de máquinas e equipamentos agrícolas sem operador;Bauru;     3
1;Aluguel de máquinas e equipamentos agrícolas sem operador;Campinas;    -1
1;Aluguel de máquinas e equipamentos agrícolas sem operador;Franca;    -3
1;Aluguel de máquinas e equipamentos agrícolas sem operador;Marília;     1
1;Aluguel de máquinas e equipamentos agrícolas sem operador;Região Administrativa Central;     1
1;Aluguel de máquinas e equipamentos agrícolas sem operador;Ribeirão Preto;     4
1;Aluguel de máquinas e equipamentos agrícolas sem operador;São José do Rio Preto;    17
1;Aluguel de máquinas e equipamentos agrícolas sem operador;São José dos Campos;     0
1;Aluguel de máquinas e equipamentos agrícolas sem operador;São Paulo;    -2
1;Aluguel de máquinas e equipamentos não especificados anteriormente;Araçatuba;    54
1;Aluguel de máquinas e equipamentos não especificados anteriormente;Barretos;     4
1;Aluguel de máquinas e equipamentos não especificados anteriormente;Bauru;     3
1;Aluguel de máquinas e equipamentos não especificados anteriormente;Campinas;    20
1;Aluguel de máquinas e equipamentos não especificados anteriormente;Franca;     9
1;Aluguel de máquinas e equipamentos não especificados anteriormente;Marília;     4
1;Aluguel de máquinas e equipamentos não especificados anteriormente;Presidente Prudente;     1
1;Aluguel de máquinas e equipamentos não especificados anteriormente;Região Administrativa Central;    -4
1;Aluguel de máquinas e equipamentos não especificados anteriormente;Ribeirão Preto;     7
1;Aluguel de máquinas e equipamentos não especificados anteriormente;Santos;     5
1;Aluguel de máquinas e equipamentos não especificados anteriormente;São José do Rio Preto;    -2
1;Aluguel de máquinas e equipamentos não especificados anteriormente;São José dos Campos;    -1
1;Aluguel de máquinas e equipamentos não especificados anteriormente;São Paulo;    18
1;Aluguel de máquinas e equipamentos não especificados anteriormente;Sorocaba;    -8
1;Aluguel de máquinas e equipamentos para construção sem operador;Araçatuba;    -1
1;Aluguel de máquinas e equipamentos para construção sem operador;Barretos;    -1
1;Aluguel de máquinas e equipamentos para construção sem operador;Bauru;    -2
1;Aluguel de máquinas e equipamentos para construção sem operador;Campinas;     9
1;Aluguel de máquinas e equipamentos para construção sem operador;Franca;     1
1;Aluguel de máquinas e equipamentos para construção sem operador;Marília;    -6
1;Aluguel de máquinas e equipamentos para construção sem operador;Presidente Prudente;     7
1;Aluguel de máquinas e equipamentos para construção sem operador;Região Administrativa Central;     8
1;Aluguel de máquinas e equipamentos para construção sem operador;Registro;    -5
1;Aluguel de máquinas e equipamentos para construção sem operador;Ribeirão Preto;    -1
1;Aluguel de máquinas e equipamentos para construção sem operador;Santos;     0
1;Aluguel de máquinas e equipamentos para construção sem operador;São José do Rio Preto;   -17
1;Aluguel de máquinas e equipamentos para construção sem operador;São José dos Campos;   -16
1;Aluguel de máquinas e equipamentos para construção sem operador;São Paulo;   106
1;Aluguel de máquinas e equipamentos para construção sem operador;Sorocaba;     5
1;Aluguel de máquinas e equipamentos para escritório;Araçatuba;     0
1;Aluguel de máquinas e equipamentos para escritório;Barretos;    -2
1;Aluguel de máquinas e equipamentos para escritório;Campinas;     7
1;Aluguel de máquinas e equipamentos para escritório;Marília;     1
1;Aluguel de máquinas e equipamentos para escritório;Região Administrativa Central;     1
1;Aluguel de máquinas e equipamentos para escritório;Ribeirão Preto;    -1
1;Aluguel de máquinas e equipamentos para escritório;Santos;     2
1;Aluguel de máquinas e equipamentos para escritório;São José do Rio Preto;     4
1;Aluguel de máquinas e equipamentos para escritório;São José dos Campos;     2
1;Aluguel de máquinas e equipamentos para escritório;São Paulo;    50
1;Aluguel de máquinas e equipamentos para escritório;Sorocaba;     1
1;Aluguel de objetos do vestuário, jóias e acessórios;Araçatuba;    -3
1;Aluguel de objetos do vestuário, jóias e acessórios;Bauru;     1
1;Aluguel de objetos do vestuário, jóias e acessórios;Campinas;     5
1;Aluguel de objetos do vestuário, jóias e acessórios;Franca;     0
