mes;regiao_administrativa;saldo
1;Araçatuba;   1852
1;Barretos;  -2243
1;Bauru;   1104
1;Campinas;   4552
1;Franca;   2711
1;Itapeva;   -223
1;Marília;    703
1;Presidente Prudente;    156
1;Região Administrativa Central;   1249
1;Registro;     -9
1;Ribeirão Preto;   3602
1;Santos;  -1416
1;São José do Rio Preto;   2571
1;São José dos Campos;    132
1;São Paulo;  25131
1;Sorocaba;   1858
2;Araçatuba;   2011
2;Barretos;   -854
2;Bauru;   2942
2;Campinas;  11830
2;Franca;   2740
2;Itapeva;    213
2;Marília;   1907
2;Presidente Prudente;   1438
2;Região Administrativa Central;    748
2;Registro;    430
2;Ribeirão Preto;   3408
2;Santos;    529
2;São José do Rio Preto;   4251
2;São José dos Campos;   1888
2;São Paulo;  42815
2;Sorocaba;   2630
3;Araçatuba;   1963
3;Barretos;  -1105
3;Bauru;    368
3;Campinas; -11766
3;Franca;    309
3;Itapeva;   -602
3;Marília;    167
3;Presidente Prudente;    188
3;Região Administrativa Central;  -3318
3;Registro;   -255
3;Ribeirão Preto;  -1240
3;Santos;  -3574
3;São José do Rio Preto;   1853
3;São José dos Campos;  -6755
3;São Paulo; -56108
3;Sorocaba;  -3946
4;Araçatuba;  -2385
4;Barretos;   -600
4;Bauru;  -5044
4;Campinas; -41821
4;Franca;  -6944
4;Itapeva;  -1688
4;Marília;  -2814
4;Presidente Prudente;  -2115
4;Região Administrativa Central;  -3795
4;Registro;   -726
4;Ribeirão Preto;  -6765
4;Santos;  -6389
4;São José do Rio Preto;  -7464
4;São José dos Campos; -13315
4;São Paulo;-157214
4;Sorocaba; -13325
5;Araçatuba;  -2129
5;Barretos;   1355
5;Bauru;  -2042
5;Campinas; -19895
5;Franca;  -4436
5;Itapeva;   -844
5;Marília;  -1442
5;Presidente Prudente;   -993
5;Região Administrativa Central;     -5
5;Registro;   -575
5;Ribeirão Preto;  -3988
5;Santos;  -2961
5;São José do Rio Preto;  -4641
5;São José dos Campos;  -5964
5;São Paulo; -50549
5;Sorocaba;  -4876
